alpha,gamma,graph type,entropy
0.01,0.01,remote,1.9836968643244046
0.01,0.01,remote,2.0127983577436765
0.01,0.01,remote,2.2479233864616575
0.01,0.01,remote,1.9886188656407653
0.01,0.01,remote,1.8975908314977454
0.01,0.01,remote,1.981600267846945
0.01,0.01,remote,2.08884715110684
0.01,0.01,remote,2.121553411937313
0.01,0.01,remote,2.098967842779372
0.01,0.01,remote,2.046051203622691
0.01,0.01,remote,2.130663398808948
0.01,0.01,remote,1.9343822836439555
0.01,0.01,remote,1.9551632996495436
0.01,0.01,remote,2.0354639859093706
0.01,0.01,remote,2.00035739528329
0.01,0.01,remote,1.9366074842292025
0.01,0.01,remote,2.135505450945539
0.01,0.01,remote,2.0770691457069437
0.01,0.01,remote,1.9863471514122113
0.01,0.01,remote,1.984927938872588
0.01,0.01,remote,2.0321912605057144
0.01,0.01,remote,2.012718233501504
0.01,0.01,remote,2.090566726020781
0.01,0.01,remote,1.9450766102048775
0.01,0.01,remote,1.97214193596772
0.01,0.01,remote,1.9571353273825383
0.01,0.01,remote,2.076878473750376
0.01,0.01,remote,2.208723938647061
0.01,0.01,remote,1.9128181590625897
0.01,0.01,remote,2.011333635763936
0.01,0.01,remote,2.004224856136409
0.01,0.01,remote,2.0580404310867326
0.01,0.01,remote,2.0123896000026966
0.01,0.01,remote,2.1074110255625715
0.01,0.01,remote,2.1273690564972996
0.01,0.01,remote,1.8841360499279929
0.01,0.01,remote,2.0087380589374333
0.01,0.01,remote,2.07760198504423
0.01,0.01,remote,2.1124133880391573
0.01,0.01,remote,2.083482675963297
0.01,0.01,remote,1.9280132956657996
0.01,0.01,remote,2.0754414756860147
0.01,0.01,remote,1.8950113650527571
0.01,0.01,remote,1.8766340221190114
0.01,0.01,remote,1.9683002873266924
0.01,0.01,remote,1.856160171361514
0.01,0.01,remote,2.007625983450177
0.01,0.01,remote,2.132272159347323
0.01,0.01,remote,2.0398315421004023
0.01,0.01,remote,2.001509198107607
0.01,0.01,remote,2.1467112185377895
0.01,0.01,remote,2.1770871917991945
0.01,0.01,remote,2.1088517875454817
0.01,0.01,remote,2.1359967793441053
0.01,0.01,remote,1.9394959434358803
0.01,0.01,remote,2.13466966020903
0.01,0.01,remote,2.033252546875369
0.01,0.01,remote,2.089565352078875
0.01,0.01,remote,1.92240755921488
0.01,0.01,remote,1.9224230339152806
0.01,0.01,remote,2.186421376485148
0.01,0.01,remote,1.97701470784693
0.01,0.01,remote,1.8657767950328776
0.01,0.01,remote,1.9657240613455742
0.01,0.01,remote,2.1203961248870384
0.01,0.01,remote,2.083310408680246
0.01,0.01,remote,2.091790121687113
0.01,0.01,remote,1.912964610651352
0.01,0.01,remote,2.1439867326199153
0.01,0.01,remote,2.005249788392173
0.01,0.01,remote,2.047443161971646
0.01,0.01,remote,2.128679525153429
0.01,0.01,remote,2.184256514032034
0.01,0.01,remote,2.011732374032559
0.01,0.01,remote,1.9434836878395931
0.01,0.01,remote,2.0213755462904555
0.01,0.01,remote,2.0739195877800354
0.01,0.01,remote,2.0315719220819117
0.01,0.01,remote,2.140646919130628
0.01,0.01,remote,1.971711261951849
0.01,0.01,remote,2.0398523412992615
0.01,0.01,remote,2.0546263814086827
0.01,0.01,remote,1.9872344985950847
0.01,0.01,remote,2.088686899453566
0.01,0.01,remote,2.0255464756012476
0.01,0.01,remote,2.185535750802326
0.01,0.01,remote,1.9964486938176567
0.01,0.01,remote,2.1982988602916023
0.01,0.01,remote,2.043692193957961
0.01,0.01,remote,2.15445586741636
0.01,0.01,remote,2.204086006038532
0.01,0.01,remote,1.9895975109756054
0.01,0.01,remote,1.9904836979007028
0.01,0.01,remote,2.154268245132105
0.01,0.01,remote,2.0472119152081927
0.01,0.01,remote,2.046585532702345
0.01,0.01,remote,2.0733973465448807
0.01,0.01,remote,1.9697302184045202
0.01,0.01,remote,1.9117134190795937
0.01,0.01,remote,2.2392376352440793
0.01,0.01,remote,2.0889892095116602
0.01,0.01,remote,2.2318838657035913
0.01,0.01,remote,2.1048337291138
0.01,0.01,remote,1.797979002051033
0.01,0.01,remote,2.101640498817274
0.01,0.01,remote,2.0809529109323224
0.01,0.01,remote,2.0436077033927593
0.01,0.01,remote,2.052750488916927
0.01,0.01,remote,2.1020964356531526
0.01,0.01,remote,1.8262307481527176
0.01,0.01,remote,1.9174144594847475
0.01,0.01,remote,2.122302443847311
0.01,0.01,remote,2.108747692266056
0.01,0.01,remote,1.9151506908264688
0.01,0.01,remote,2.05559205899326
0.01,0.01,remote,2.0995049804592814
0.01,0.01,remote,2.1211354696430744
0.01,0.01,remote,2.0760606746582417
0.01,0.01,remote,1.950302266644681
0.01,0.01,remote,1.9228303755377836
0.01,0.01,remote,2.0511854316955866
0.01,0.01,remote,2.044162432785414
0.01,0.01,remote,2.102958269614254
0.01,0.01,remote,1.9180233820041879
0.01,0.01,remote,2.184150007641745
0.01,0.01,remote,2.045038224344936
